Name,Attachments,Category Primary,Categories All,Priority,Pricing,Description,Direct Link,Slug
Untitled UI,UntitledUI-Logo.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/UNDk6swtkPoV241vJyWyQQ/i5Dl1O8_jNu0CtrFrtgTky4xnMtFgn79a3RnfBOKVCk-QXUhSNRhga3iVFih8o2--JPLmW9SL29vhwv89Z6Vmb4FwgiJKbHqVyZjoPd8WletpOQwqws1AlD487_0FPpUTudSazW3bDwPrQo0wG-K0A/8do5Xanaz52ZnH4W1Z9r1CS63EbZPP_gvxPlTvLc50s),Design Systems,Component Libraries,,Freemium,Large UI kit for Figma,https://www.untitledui.com/pricing,Untitled UI
NextUI,,Design Systems,Component Libraries,,Free,Visually impressive UI library for Next with Figma documents,https://nextui.org,NextUI
Iconify,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/28_6aeOBtC_QbckeSoTjKQ/hseIkz4XK-C0Ce5VsssmzlMbZCUBLFvXhxFN-B0PHim1Vu1Yluz31DkBqZjR094nMrCOST75Vr_GRzCghaV4RDymnmluJ9j_oLT6JSsXCLy7iLBaYFT0iCseevMJt4XgkBMMYSjuAl9ujSmEzZiK4A/pSInJhbRaa9ftbgOfMH_6jZTdG4Ai-wRppELy6J6098),Design Systems,"Icon Libraries,-- Figma Plugins",4,Free,"Dozens of popular icon libraries in one place, such as Material Design, FontAwesome, Phospor, Tabler and many more. Designers can use the Figma plugin and developers can use the open-source API.",https://www.figma.com/community/plugin/735098390272716381/Iconify,Iconify
Material icons,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/Q5B_xSI7qJMDg1Llj_wLgA/8rN51Zqn7WHJ0M3Rc5KpvdElPPDgkquMk2OqvpcomvLWv6iQ_XYgfzHxj0nVQBCFmAfl2YyQnxoo_VywThSXTujMxmWGtCf0oX8thX9LDyqBaEmO2wvAJjekD5g2o_ADs80ELJl2O0RveEsp_YL56A/N4BaSWgRE7bBpVK9tk2MmdB_9tU4SIt_8cqnlgBf6HY),Design Systems,"Icon Libraries,-- Figma Plugins",3,Free,Material icons have been a proven standard for years. They can also serve as a good source of inspiration for naming or inspiration for creating your own icons,https://fonts.google.com/icons,Material icons
Phospor icons,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/-TNShsHQeNqjxLwjiP4ciw/nnX-FjHe7skZ8cEEU1HFPpX-fQSuwdkNb7jWfCTRV2HRuYEKuNTlM-MoY1lqxYOKdwapawDBnIYaA_we6wDpM7F4eWMzu0VuTi35vNP7ZodCdRq9Xc_B_B05_AlPpxLF-_cqgf6Aj_5OmuUBGB-Azg/YpCziXXMsfZQ1hdFgi02ikf6kZT07XybOrUn_hmUvro),Design Systems,"Icon Libraries,-- Figma Plugins",2,Free,Over 7000 icons with adjustable size and style,https://phosphoricons.com,Phospor icons
Glyphs,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/mG9vvxtrUBt3_6iCTzCEbQ/uL_MHYs4zrf_cHSiAYONEboiqEh26dwhg6rR_mxSmLoXc6chh7pvjVRy6dzWtv3s4J807ROn8ZkYBnDDFgR8WlAKtSoEYgZ7yNYUMzC-JJqpWnMxQt5z3wpGGWRCA2YX05tKVtKapStj0nAXpjjgbA/nl6tuwJeN4RA9C9Uqts8s_B2cSM7BWJVtyodPWmKk8c),Design Systems,"Icon Libraries,-- Figma Plugins",1,Free,"Over 6000 icons, Figma file, Web components, Github repo, documentation... What more could you ask for?",https://glyphs.fyi,Glyphs
Unicode Characters,,Design Systems,Icon Libraries,,Free,"The fastest option, supported by all devices, just copy and paste",https://www.vertex42.com/ExcelTips/unicode-symbols.html,Unicode Characters
Tabler icons,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/8A7qZvAaTWfxhhsr8bsmeg/bVQwandJJhxTzuIAlwaNPBA9U_5zepg24dJvEHA9PqQ5JhvC1JqxDeXDZ7oHkdvXbs4F_8Zq-75vbJOywNfbeuVnJ2TAKEjuhN8ZDU5oWlqdIiU7ZzNtd4adbixeq93lJH5m3zNU2WExtVcq-dMFbw/5ZiThvMzE3NykHLWJ7gojF0JRMEB8Si8Ugwj0kAta2c),Design Systems,"Icon Libraries,-- Figma Plugins",,Free,"Gallery of more than 4000 icons in many graphic formats with support of technologies like React, Vue, Preact, Svelte, SolidJS and others",https://tabler-icons.io,Tabler icons
Atlas icons,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/WokDu6ECIxsq-YKxNTGqGw/FeDGcvMqsywhHF5kbvO9CH0A54KXXZgvT0KbOsojE086jShBc4BQ-X1auVJZ7X3nYnAaRABbrTfRKQDca8vuvsNKonBI6L8TjIFfrHjRNv0bTvtD5gW3MGD90Usgkw_vqrIE-613-IVW68NZzBx7HQ/wAA_dHppZRQyk_b4tFHSalUDU5yY6QG5cJlBBwzyWj4),Design Systems,"Icon Libraries,-- Figma Plugins",,Free,"Open source icon library, available in SVG format with variable stroke, web fonts, Figma, React, Vue and Flutter ready-to-use packages.",https://atlasicons.vectopus.com,Atlas icons
Remixicon,image.jpeg (https://v5.airtableusercontent.com/v2/24/24/1703844000000/MTkYXyZmegBkzNn4D9w2Uw/ssBGmMNk_xEHp57DIhT8m-jqC5n_ogP8adWJQuW1NNUoa_6Z_6yYpp29_-EcViYaGikmQq38w_COHiunLq4wG8_xRVLaaxmsrcldG233cVv_hjAQTru1THpnpex5m9_5WyixjHCuZn6Tyf6jqWEXDA/_SyQiHhoBPJO6cFJXUEfbO6yHI0G8J2Bsa9cjD0kNWk),Design Systems,"Icon Libraries,-- Figma Plugins",,Free,Gallery of almost 2500 icons,https://remixicon.com,Remixicon
Supernova,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/49WwlYtdlZuhUgqtuL937Q/kpksrbDbv-qZaRAJLklPhy9KX04D8RYpSC08uPgbcHAivJ5mIUqJViykd4wORj1ShQPIjCZr5dKjYJlSLZwbsDYswLJDuKGsfFhwOp65d7K6FJtfL6LYFBc0ZU7-HvzU0JSuBR1x--VOJmBzzDe8HA/WOy8L7ha9v9iDuLYekenTfWlXXx9zPCPEPgyiCxtVVQ),Design Systems,- Design Systems,4,Freemium,Design system platform with advanced documentation generator and intuitive token management,https://www.supernova.io,Supernova
Backlight,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/pQn2S51mHvOzPMNuxhgNwA/xwXbDQWHMxEV8J0VAkJA6Eqk2Re-CVG8PkZk8E166_mHF5-zbvYKx0Zy8yeaRQFk0V5Hj3FcxipC4qMtNbnxdHmsqpze5P6a_FN_AG4BxAZU7AFDn-eg1wfvxI6DdqIrIhthDH7LfzqUGGZFarwTxQ/Ey3ggo7G31dt0A8QU66lpWzYR5TKQtkgjrZM9wP8YwM),Design Systems,"- Design Systems,-- Figma Plugins",2,Freemium,Design system platform for frontend developers,https://backlight.dev/,Backlight
Specify,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/tzg3bOa2mxDT6CMC4P06yQ/h5Q1Ri7JFL-946EJgnc_kRRAd1dkEaWfn9gRgqN_RSE9R46iedF6o6F0Hz0106hKlc4cmX6g1QttdAWc2Zjfa7jLrDJsTN1CsIg9nkOIkaWl--STkhNX1FBBFM0UhPZkgo5dlcnAdzu9mMmIpQh-Zg/-19BkcfvsE4-4cObmY0FQ6T-RjPAqm6eeDVSuGT76w0),Design Systems,- Design Systems,1,Trial,Design system platform,https://specifyapp.com,Specify
Stylebit,Stylebit-Logo.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/-Nac86PTQpq0TGZX5cZyAQ/84l3rdDzru27twGgFPegJ07IMY3Ptb3tUWbv4fMwTtnAGndaKXl_eFuzK4yn9DuQr_tMcLnRxAA4HzmkeKHc588LQ9HRA9FsJ8RkXfrF7Z-Yonq25-UWRkGBakf8h4WtFIZMzvKEi0N6fVjELREuuQ/sRxVy9PyTo8-5B0ANt3PxAuh129qtdoNmcD3-Cvo_vo),Design Systems,- Design Systems,,Free Beta,"Platform for creating, maintaining and measuring design system",https://stylebit.io,Stylebit
Toolabs,Toolabs-Logo.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/dxPiFzPKX7KjtfkxHCoZXQ/bQQD9q-A9LMFEF3fkR7FFXJYSEvOUVegAWszjL9qQd5UWwcL2iuk24kErcRjFz152My8QvMq2ThZ3mlNEMNwlJpMp_ESXjyF2W2Qe3DuNE4ASUwSstCQmWF1SUsZ6cG9q87o7PZKu82IHhMD0dDhlA/WsIREc9ssialZp1KgXth9jxirmkwn-uiaEmfcRTlgT8),Design Systems,- Design Systems,,Free Beta,Tool for creating and maintaining a design system,https://www.toolabs.com,Toolabs
Zeroheight,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/WzDgZTVJqYdHHVgtEVWvyw/6xQT3Ejbs-D7hb48uFdzLBPnTUKoK22a9L84rmvKvFfDi4QueCq7MU3Ae7nesCoRRvyU43YqGsoDAdxECP7lY1QnqIeNmuopnybyM_d4G8xwHZu3X2CjhQsapwlGQS7gOcRKNwOfh1e2gTHay9AabQ/qfPdZhCbXOLKU4JO-ieHHEmByFoUZ11Fze6c2yI6C_M),Design Systems,DS Documentation,4,Freemium,Design system documentation platform,https://zeroheight.com,Zeroheight
Storybook,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/60Syb3w1JakisCeMj167bA/lzx4eQJXAMIXG8WlQqCLUJewxc3j8CIIDKTua8xvdEmlph56KtBPj-fEZMT4WKwIYf3eRrpMCI6LIzfaWDqJI3uMKy1r2GGqRMZgZtu65DAYILw1tiEbn68Qe-7FdsBBBRUn3lVRTx5c4_8-aLlDtA/aIYY5VCTtnkDlQJXIoR5O0_atc0QXTkGJPbai1-Vp9w),Design Systems,DS Documentation,3,Freemium,UI tool for creating UI components and presenting them in automatically generated documentation,https://storybook.js.org,Storybook
Markpromt,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/mC8oKA-5MT1GBxd4-7ekJw/DwfmXHspvNvUQ-EdQk0OncISArTpkU0gmE_Oxoysvz7IhcOIDfP_LxE3IluYSqpP3OdFqhFCBvL7sMtOjPVLYlUT9z1aj_1niETFI8gPb1HzYA7E4HhmwUOs1RnxiBr1OfgB7VlzCrzIffsfqy8gkg/MKzzyZhl_lrfjXyMtUfLa7DsjTxvcO8ajRuU2lh7P_E),Design Systems,DS Documentation,,Freemium,AI chatbot for websites and docs,https://markprompt.com/,Markpromt
Automatic StyleGuides,,Design Systems,"DS Documentation,-- Figma Plugins",,Free,Plugin for generating style guides in Figma,https://www.figma.com/community/plugin/838622388628773312/Automatic-Style-Guides,Automatic StyleGuides
Auto Documentation,,Design Systems,"DS Documentation,-- Figma Plugins",,Free,Plugin for generating style documentation in Figma,https://www.figma.com/community/plugin/1134018716847999330/Auto-Documentation,Auto Documentation
Photopea,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/sbOQ8-nZM-PEFM3duhTBnQ/u7DLipfnpwacoruN2e8Pnyv3FAnVEFwieo9AbILSdxzWbvdAAkzknG4o5jYKXSfDQwXy_91nbABvLPrZax21Mh30ElKFGJCVhgEV9RloStyKEnEXKMXgClm-NdY18UT7iAOLdx0ijRir8EZoyRnGUg/Xx3CcS_1A6gL4vXT2eiClZGNHkz579H8-DVkjMBI-98),Graphic Design,"- Graphic Design,-- Figma Plugins",4,Freemium,Classic Photoshop in your Figma. All for free,https://www.figma.com/community/plugin/1164118094004004837/Photopea,Photopea
Unsplash,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/FtArmqTpjsUl2vpBK1SX-g/0KaF5Ro0viV0WhLlo-GEMTtXAh4RflBOgWumKywvlCMnXzvrVrNUP015v51qYSv4IXoqjClCjdkbRISUiahh4sBubHW_frOWBsp6zumhPK30bttrzNHz5_UCv3Bl5t-NJNADWg-qNdd_UtwK9kmQew/SqfK4qmkVVCek5wIz2eFE_S0P_GimtUg6wKW5FRxmiU),Graphic Design,"- Graphic Design,-- Figma Plugins",3,Freemium,A stock of free images and photos that you can download and use for any project,https://unsplash.com,Unsplash
UiFaces,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/IFI1aR5dG5vpBwYgeziFSA/WURKI7Bm_N5CMgUCxOEmkw_XhDtCaLZIwMY8OYPGJi7c065l6Mk6osjrUOteMOAYBKkSNwia0rAbE6zRllzp3a-m0EkRFA0fA_93xanH6EYxLj9J0Q7quyiG49d7ZiJpvVAclsOxHknvus_SKtAjYw/2N_JW0CWNkdIyKXTa6jV0qvoKjeTC01Um2B01AQkKM8),Graphic Design,"- Graphic Design,-- Figma Plugins",2,Free,Database of open source avatars that you can use as placeholders,https://www.uifaces.co,UiFaces
Humaaans,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/UWHAaNdjoQ7DicS_6yArPQ/e75pxYrEeDbWEG4g2CXbNCBqbCBQd_pKKh1eB5Hwj2LMwsAS_vyhyHk2iAmwy6s16bq9_7peQ2AJVEOkfV-q5RIulo_rpt0s2WjRxm4oRXzwF07fYRsNeydQUDNzucz6vmzpFrxDLtO7NvvsKSC6Xg/6pOuWm3GSlYZ-zG-apIFIGjJfU68KpCBlI-njI-CTf4),Graphic Design,- Graphic Design,1,Free,A library of vector drawings of characters that you can rearrange into any position,https://www.humaaans.com,Humaaans
Avvvatars,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/2OWadZodU7Ypvnuk1xJvqQ/jICBrC86t2xhvvigl-aM4uMCn1gZ6oTPBYQNt1O3f2VM99msxq7ePF9fKTLIFw90no0toC3L3u_ZC23JEx_xZT4yM9LBgJRIbJp3tW1D3397-OTOniYDBe-2OCNhWAPrttu9n9727qdXH0caQaENyA/O7a1kkfSPI2Ryj1nHPpnyc-Q9OtJPg0jGi3RT6CGo3U),Graphic Design,- Graphic Design,1,Free,Free avatar placeholders library for any project,https://avvvatars.com,Avvvatars
Logoipsum,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/Uc-lP14ovV-0IaXNtDqHrw/l1XttWJ_QXYAftl8RCjyNxDjJUjY00hGjtcDY_uiNLHH21L69Ye1klkaLf3Ovq0pAHT41yn8ijsIlIS55yWJdFLOA_fo9P9LACAxsoti8DiuNmiTljg8EHLp2NhNdKqg_3TnKfLqF8R95IdaHaF_vg/n_FUCFKW_pxO0IVa5z6d-fyxpXOFVUsSA3iYuDOn-ME),Graphic Design,- Graphic Design,1,Free,Gallery of logos that can be used as a placeholders in any design,https://logoipsum.com,Logoipsum
Drawkit,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/m6RMewRWiWrTsACi2ifQ3g/Be_pb7eqtyQAW874zMF8BaBSO61QD3u__W2sy1pkbkfekkAgwnwsl5oeQdfptF5qBxmebgQObh7VuVFC8ovERT6F_6AoW108Dh005Xxrq6hOTHSwSCFR_yYbhLBSq2YWphXx7LVmy-tt0VkymTYE1w/K968j5g6ifNqrCka_OWLIu_JmP1NAUGFOjPY_DcmmhU),Graphic Design,- Graphic Design,,Freemium,"Gallery of hand-drawn 2D and 3D illustrations, icons and animations",https://www.drawkit.com,Drawkit
World Vector Logo,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/h-QYVF_0f29hqz8CpCOPUw/ZONlPSSmhyK7IhpsmiCj1XBwISwq49EyRMYhuGz2NZPaCB53F1mpEHrj_VTg_UoU_8r9oPTKFR258tDSiKen9TTUgCFhl7i1cno_CL2LeTl0eOhxIXj_HqkZFfMMfX85xkZeo0Ex-LhuuWjYsHqwtw/wOtTjxuP3fPKhCu1HkVeTNBBuB9Wf1VZV24BuHFnzaI),Graphic Design,- Graphic Design,,Free,Collection of vector logos of the world's most famous brands,https://worldvectorlogo.com,World Vector Logo
Pexels,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/uUizOQFxb8OFhYZoO70sEw/1lzFjqxKWbGuMLWLH6F29E-xiWD3SKuVFmV1ErhGwVI-Hl9n_hICEFPyLd_GJu9hibXvaTa3Vtg_jwolEdK9t-zMUQJ4AGzwHkzAq7yVvqEefoEGJXx_7Z6VNkYJc32fbfcS_voh9fWvLunozA3GAQ/5qd41KBjnR2iLngqqTKib_hfElsqxCXriMMXj5aBqm0),Graphic Design,- Graphic Design,,Free,Free Stock Photo Library for any project,https://www.pexels.com,Pexels
Generated photos,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/JT6ATus4b_2ijgpG_n8JZw/BZDqO_QPivshUE_RrcgooPJ4tJty6cWWcqMldY9w6UifRrN_in7qEYj50RkL8Aj03w7cvo4NzSV4ZQbjSG0bYaBqZx7DhSedsXBWV76b9mBcrkxDwESrbxMmRNBeV9GeRAKEAf9K1Vxdu6I-Voe4sg/N24Nukjg4ibmDp23nZweAx0SNYGIQ0scwAupYwKqcI0),Graphic Design,- Graphic Design,,Trial,Photos of people who never existed generated by artificial intelligence,https://generated.photos,Generated photos
Frontitude,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/OB56I9Fdtl6gnZkBKs3ASQ/S6dPU4_SdEUHvW9Ri2ysSUpGlksN4UGeuY1iV42gknupnUvIEproHjdNKIdvFxZKdltjAPf9WOY0KknJvEY7poYHCp39niwgmslmOppizUwYOXD8jfHRDEqL6YEmsx1DKwBvyQ1Qc8dGwYrzEA1KVQ/I2UGDi3QdJeQq6Atg8Y72vrtPf62Owl5RKRteAynwoQ),Copywriting,"- Copywriting,-- Figma Plugins",1,Freemium,Figma plugin that helps to improve your microcopy,https://www.frontitude.com/ux-writing-assistant,Frontitude
Storyblok,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/Qx8j1-ZpcpIkk7pO_4GeXg/8eYpXVPipnyZwEXYHPg0Vnmmjrz0fadv2cpIiXXAdgkXE2kUhZ2Mw5PiuXwfo4br2oaVgGS72hnkIr_qb7F_uHwmHNIrMqQZj_zO1v0F-4SYoNZOnHD7BuWCWIZW3inD9wt0wenPJ4mltrSCm12jpw/DwReAwg2GpY47mIhXujFaBchoABLFHuIfh-TMutH_nA),Copywriting,- Copywriting,,Trial,,https://www.storyblok.com,Storyblok
Copy.ai,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/AwPwevpKePkUHh2FmHyS7Q/4xUqucgagbObgE4GxUAFJDhja8rW6GJQdiBPcP7dg2qicAH8Z_Tql11Tv5A4feIzbLliwmUTVyWkl0LvuwIuoZAZkRw0pRjxYsffTF9LJPXhZyy5e4tZPs2BtbNmU8Cru01DpnUfAi5HYQc0hx9QrQ/-V-rFTkVNlDsqEFP7WnQp2cfIiRgT7oFkvDLNi4B0NY),Copywriting,- Copywriting,,Freemium,,https://www.copy.ai,Copy.ai
Anyword Social Media Post Generator,image.png (https://v5.airtableusercontent.com/v2/24/24/1703844000000/4BgN9IAWHwMYjuK87EoVkg/U7UHXXkyw6eR-jgr7tLl9puNP1jo2bXk_yB4jO25sGIThF8DxPE966q6e_ZEAviRVOPKKS3Qc9OXsXNtBBOLeSSUE3-IpqIBTiCiVVOU3g1XoGXLBe0T0BT28mC7KZMwy3S11t226Ss9lcQyIcvrdg/_ohh5wE_aH2H02a1TVlll-9Dxiebui9UZUGMAOf4Gis),Copywriting,- Copywriting,,Freemium,Social media post generator,https://anyword.com/social-post-generator/,Anyword Social Media Post Generator
